Timestamp,Title,URL/DOI (please check DOI by collating DOI at the end of https://doi.org/  ),Provider/Creators,Material Type (see: https://help.oercommons.org/support/solutions/articles/42000046908-material-types for Glossary of terms),Education Level,Abstract,Language,Conditions of Use,Primary User,Subject Areas,FORRT Clusters  | see: https://forrt.org/clusters,"User Tags (separate by comma if more than one; capitalize each word, except for prepositions)"
10/25/2020 18:58:28,"Free and low cost resources for graduate  students, postdocs, and early career researchers  (or really anyone else)",https://docs.google.com/document/d/1IFbHIN5OOAO0qz-VfCU9nEx4-x6CfArj1-d8ylA2vsU/edit,Dr Jaclyn Siegel,"Reading, Resource list","College / Upper Division (Undergraduates), Graduate / Professional",A list of free or cheap resources (e.g. free and open statistical software) that support the processes of science ,English,I don't see any of these,"Student, Teacher, Librarian, Early career researchers","Applied Science, Social Science",Open Data and Materials,Open science
10/28/2020 8:00:56,Preregistration for Quantitative Research in Psychology Template,https://docs.google.com/spreadsheets/d/1vlp5GN-HXrtrjCdjE28f_3tT6RiwhQO2vVeOZGOaFsQ/edit#gid=0,Pre-registration standards for psychology,Reading,College / Upper Division (Undergraduates),A template to use for pre-registration,English,I don't see any of these,"Student, Teacher","Applied Science, Social Science",Preregistration,Transparency
10/28/2020 13:19:48,Credibility of preprints: an interdisciplinary survey of researchers,https://doi.org/10.1098/rsos.201520,Courtney K. Soderberg et al.,Reading,"College / Upper Division (Undergraduates), Graduate / Professional","Preprints increase accessibility and can speed scholarly communication if researchers view them as credible enough to read and use. Preprint services do not provide the heuristic cues of a journal's reputation, selection, and peer-review processes that, regardless of their flaws, are often used as a guide for deciding what to read. We conducted a survey of 3759 researchers across a wide range of disciplines to determine the importance of different cues for assessing the credibility of individual preprints and preprint services. We found that cues related to information about open science content and independent verification of author claims were rated as highly important for judging preprint credibility, and peer views and author information were rated as less important. As of early 2020, very few preprint services display any of the most important cues. By adding such cues, services may be able to help researchers better assess the credibility of preprints, enabling scholars to more confidently use preprints, thereby accelerating scientific communication and discovery.",English,I don't see any of these,"Student, Teacher",Social Science,"Reproducibility and Replicability Knowledge, Reproducible Analyses, Open Data and Materials, Replication Research",Preprints
10/29/2020 12:40:49,Data tutorial: Power analysis using G*Power,https://www.youtube.com/watch?v=5J4IKzDfT0w&feature=youtu.be,Andrew Livingstone,Video,"College / Upper Division (Undergraduates), Graduate / Professional",A tutorial on a priori and sensitivity power analyses using G*power,English,I don't see any of these,Student,"Applied Science, Social Science",Conceptual and Statistical Knowledge,Power analysis
10/29/2020 13:08:48,RIOT science club,https://www.youtube.com/c/RIOTScienceClub/videos,RIOT,Video,"College / Upper Division (Undergraduates), Graduate / Professional",A videos that discusses world-leading open science,English,I don't see any of these,"Student, Teacher, Librarian","Applied Science, Social Science","Reproducibility and Replicability Knowledge, Conceptual and Statistical Knowledge, Reproducible Analyses, Preregistration, Open Data and Materials, Replication Research",Open science
10/29/2020 13:10:26,"Rethinking Research Assessment:Addressing Institutional Biases in Review, Promotion, and Tenure Decision-Making (part IV)",https://theplosblog.plos.org/2020/10/rethinking-research-assessmentaddressing-institutional-biases-in-review-promotion-and-tenure-decision-making-part-iv/,Ruth Schmidt,Reading,"College / Upper Division (Undergraduates), Graduate / Professional",In our final installment we get into how incumbent processes and perceptions have the advantage.,English,I don't see any of these,"Student, Teacher","Applied Science, Social Science",Academic Life and Culture,"Diversity, Equity and Inclusion"
10/31/2020 13:16:26,Open Science Saves Lives: Lessons from the COVID-19 Pandemic,https://www.biorxiv.org/content/10.1101/2020.08.13.249847v2,Lonni Besançon et al. ,Reading,"College / Upper Division (Undergraduates), Graduate / Professional, Adult Education","In the last decade Open Science principles, such as Open Access, study preregistration, use of preprints, making available data and code, and open peer review, have been successfully advocated for and are being slowly adopted in many different research communities. In response to the COVID-19 pandemic many publishers and researchers have sped up their adoption of some of these Open Science practices, sometimes embracing them fully and sometimes partially or in a sub-optimal manner. In this article, we express concerns about the violation of some of the Open Science principles and its potential impact on the quality of research output. We provide evidence of the misuses of these principles at different stages of the scientific process. We call for a wider adoption of Open Science practices in the hope that this work will encourage a broader endorsement of Open Science principles and serve as a reminder that science should always be a rigorous process, reliable and transparent, especially in the context of a pandemic where research findings are being translated into practice even more rapidly. We provide all data and scripts at https://osf.io/renxy/.",English,I don't see any of these,"Student, Teacher, Policy maker","Applied Science, Life Science, Social Science","Reproducibility and Replicability Knowledge, Reproducible Analyses, Open Data and Materials, Replication Research",Open science
10/31/2020 13:19:10,Race to the Bottom: Competition and Quality in Science,http://economics.mit.edu/files/20679,Ryan Hill and Caroline Stein,Reading,College / Upper Division (Undergraduates),"This paper investigates how competition to publish first and thereby establish priority impacts the quality of scientific research. We begin by developing a model where scientists decide whether and how long to work on a given project. When deciding how long to let their projects mature, scientists trade off the marginal benefit of higher quality research against the marginal risk of being preempted. The most important (highest potential) projects are the most competitive because they induce the most entry. Therefore, the model predicts these projects are also the most rushed and lowest quality. We test the predictions of this model in the field of structural biology using data from the Protein Data Bank (PDB), a repository for structures of large macromolecules. An important feature of the PDB is that it assigns objective measures of scientific quality to each structure. As suggested by the model, we find that structures with higher ex-ante potential generate more competition, are completed faster, and are lower quality. Consistent with the model, and with a causal interpretation of our empirical results, these relationships are mitigated when we focus on structures deposited by scientists who – by nature of their employment position – are less focused on publication and priority.",English,I don't see any of these,Student,"Applied Science, Life Science, Social Science","Reproducibility and Replicability Knowledge, Academic Life and Culture","Publish or perish culture, Quality of publication"
10/31/2020 13:20:41,"Crisis research, fast and slow",http://www.the100.ci/2020/03/26/crisis-research-fast-and-slow/,Anna Scheel,Reading,College / Upper Division (Undergraduates),A blog about the crisis of research,English,I don't see any of these,Student,"Applied Science, Social Science",Open Data and Materials,Open science
11/2/2020 11:13:04,Towards inclusive funding practices for early career researchers,https://osf.io/9sfm8/,Charlotte de Winde,Reading,College / Upper Division (Undergraduates),"Securing research funding is a challenge faced by most scientists in academic institutions worldwide. Funding success rates for all career stages are low, but the burden falls most heavily on early career researchers (ECRs) - young investigators in training and new principal investigators - who have a shorter track record and are dependent on funding to establish their academic career. The low number of career development awards and the lack of sustained research funding results in the loss of ECR talent in academia. Several steps in the current funding process, from grant conditions to the review process, play significant roles in the distribution of funds. Furthermore, there is an imbalance among certain research disciplines and labs of influential researchers that receive more funding. As a group of ECRs with global representation, we examined funding practices, barriers, facilitators, and alternatives to the current funding systems to diversify risk or award grants on a partly random basis. Based on our discussions, research, and collective opinions, we detail recommendations for funding agencies and grant reviewers to improve ECR funding prospects worldwide and promote a fairer and more inclusive funding landscape for ECRs.",English,I don't see any of these,Student,"Applied Science, Social Science",Academic Life and Culture,Funding
11/19/2020 12:37:56,Data management,https://www.youtube.com/playlist?list=PLy1c0eubiYXlBLTk4T_i-IQGopzSWfSuj,UARK PsychStats,Video,College / Upper Division (Undergraduates),Videos that provide information on data management,English,I don't see any of these,Student,"Applied Science, Life Science, Social Science",Reproducibility and Replicability Knowledge,Data management
11/21/2020 7:16:27,Bayesian Cognitive Modelling,https://bayesmodels.com/,Michael Lee and Eric-Jan Wagenmakers,Reading,College / Upper Division (Undergraduates),"This site is dedicated to the book “Bayesian Cognitive Modeling: A Practical Course”, published by Cambridge University Press.",English,I don't see any of these,Student,Math & Statistics,Conceptual and Statistical Knowledge,Bayesian statistics
11/21/2020 7:20:31,A. Solomon Kurz website,https://solomonkurz.netlify.app/post/,A.Solomon Kurz,Reading,College / Upper Division (Undergraduates),A blog posts about Bayesian statistics,English,I don't see any of these,Student,Math & Statistics,Conceptual and Statistical Knowledge,Bayesian statistics
11/21/2020 7:21:40,Richard McElreath,https://www.youtube.com/channel/UCNJK6_DZvcMqNSzQdEkzvzA/videos,Richard McElreath,Videos,College / Upper Division (Undergraduates),A series of youtube videos about his book on statistical rethinking and Bayesian statistics,English,I don't see any of these,"Student, Teacher",Math & Statistics,Conceptual and Statistical Knowledge,Bayesian statistics
11/21/2020 7:24:19,Bayes Rules! An Introduction to Bayesian Modelling in R,https://www.bayesrulesbook.com/,"Alicia A. Johnson, Miles Ott, Mine Dogucu",Reading,College / Upper Division (Undergraduates),"Bayesian statistics?! Once an obscure term outside specialized industry and research circles, Bayesian methods are enjoying a renaissance. The title of this book speaks to what all the fuss is about: Bayes rules! Bayesian methods provide a powerful alternative to the frequentist methods that are ingrained in the standard statistics curriculum. Though frequentist and Bayesian methods share a common goal – learning from data – the Bayesian approach to this goal is gaining popularity for many reasons: (1) Bayesian methods allow us to interpret new data in light of prior information, formally weaving both into a set of updated information; (2) relative to the confidence intervals and p-values utilized in frequentist analyses, Bayesian results are easier to interpret; (3) Bayesian methods can shine in settings where frequentist “likelihood” methods break down; and (4) the computational tools required for applying Bayesian techniques are increasingly accessible. Unfortunately, the popularity of Bayesian statistics has outpaced the curricular resources needed to support it. To this end, the primary goal of Bayes Rules! is to make modern Bayesian thinking, modeling, and computing accessible to a broad audience.",English,I don't see any of these,"Student, Teacher",Math & Statistics,Conceptual and Statistical Knowledge,Bayesian statistics
12/3/2020 12:59:00,Online Experiments for Language Scientists,https://kennysmithed.github.io/oels2020/,Kenny Smith,Syllabus,College / Upper Division (Undergraduates),"Many areas in the language sciences rely on collecting data from human participants, from grammaticality judgments to behavioural responses (key presses, mouse clicks, spoken responses). While data collection traditionally takes place face-to-face, recent years have seen an explosion in the use of online data collection: participants take part remotely, providing responses through a survey tool or custom experimental software running in their web browser, with surveys or experiments often being advertised on crowdsourcing websites like Amazon Mechanical Turk (MTurk) or Prolific. Online methods potentially allow rapid and low-effort collection of large samples, and are particularly useful in situations where face-to-face data collection is not possible (e.g. during a pandemic); however, building and running these experiments poses challenges that differ from lab-based methods.

This course will provide a rapid tour of online experimental methods in the language sciences, covering a range of paradigms, from survey-like responses (e.g. as required for grammaticality judgments) through more standard psycholinguistic methods (button presses, mouse clicks) up to more ambitious and challenging techniques (e.g. voice recording, real-time interaction through text and/or streaming audio, iterated learning). Each week we will read a paper detailing a study using online methods, and look at code (written in javascript using jspsych) to implement a similar experiment - the examples will skew towards the topics I am interested in (language learning, communication, language evolution), but we’ll cover more standard paradigms too (grammaticality judgments, self-paced reading) and the techniques are fairly general anyway. We’ll also look at the main platforms for reaching paid participants, e.g. MTurk and Prolific, and discuss some of the challenges around data quality and the ethics of running on those platforms.

No prior experience in coding is assumed, but you have to be prepared to dive in and try things out; the assessment will involve elements of both literature review and coding.",English,CC BY,"Student, Teacher, Researchers",Social Science,Open Data and Materials,Programming
12/5/2020 13:47:07,GGPlot Colors Best Tricks You Will Love,https://www.datanovia.com/en/blog/ggplot-colors-best-tricks-you-will-love/,Alboukadel,Reading,College / Upper Division (Undergraduates),This article presents multiple great solutions you should know for changing ggplot colors.,English,I don't see any of these,Student,"Math & Statistics, Social Science",Conceptual and Statistical Knowledge,Data visualisation
12/5/2020 15:09:45,Reproducible statistics for psychologists with R Lab Tutorials,https://crumplab.github.io/rstatsforpsych/index.html,Matthew C.Crump,"Reading, Simulation, Textbook",College / Upper Division (Undergraduates),"This is a series of labs/tutorials currently under development (2020-2021) for a two-semester graduate-level statistics sequence in Psychology @ Brooklyn College of CUNY. The goal of these tutorials is to 1) develop a deeper conceptual understanding of the principles of statistical analysis and inference; and 2) develop practical skills for data-analysis, such as using the increasingly popular statistical software environment R to code reproducible analyses. The first set of 13 labs roughly track chapters in “Thinking with Data” (Vokey & Allen, 2018), and the second set of labs (to be written on a weekly basis during the Spring 2021 semester) will roughly track chapters in “Experimental Design and Analysis for Psychology” (Abdi et al., 2009). Although the primary aim is to create lab exercises that reinforce stats concepts and also train basic R coding skills for data-analysis, there are many side goals, including showing students the advantages of using R markdown and Github for creating and communicating research products. For example, aside from these tutorials, I have been developing an R package called vertical (Vuorre & Crump, 2020), that highlights the advantages of learning R for researchers in psychology. And, where possible, I hope to inject some of this broader discussion about awesome R tools and how to use them into the labs (at the same time, a deep-dive requires a separate course…maybe coming soon to a browser near you).",English,I don't see any of these,"Student, Teacher",Math & Statistics,"Reproducibility and Replicability Knowledge, Conceptual and Statistical Knowledge, Reproducible Analyses",Statistics
12/9/2020 20:08:44,Reproducibility/Open Science and Clinical Psych Reading List,https://docs.google.com/document/d/1ewFMFBEASv7UL0qkOP5HNtFDngzdBax8tDKK-L_0knc/edit,Cody Christopherson,Reading,College / Upper Division (Undergraduates),A reading list for reproducibility in clinical psychology,English,I don't see any of these,Student,Social Science,Reproducibility and Replicability Knowledge,Clinical psychology
12/9/2020 20:09:57,The General Linear Model: Semester 2,https://osf.io/x3vyf/,Patrick S. Forscher,Syllabus,College / Upper Division (Undergraduates),A syllabi used for general linear model,English,CC BY,Student,Math & Statistics,Conceptual and Statistical Knowledge,Statistics
12/9/2020 20:11:55,Data management,https://www.youtube.com/playlist?list=PLy1c0eubiYXlBLTk4T_i-IQGopzSWfSuj,Patrick S. Forscher,Video,College / Upper Division (Undergraduates),A series of video of data management,English,I don't see any of these,Student,Math & Statistics,Conceptual and Statistical Knowledge,Data management
12/9/2020 20:13:00,Common statistical tests are linear models (or: how to teach stats),https://lindeloev.github.io/tests-as-linear/,Jonas Kristoffer Lindeløv,Reading,College / Upper Division (Undergraduates),This document is summarised in the table below. It shows the linear models underlying common parametric and “non-parametric” tests. Formulating all the tests in the same language highlights the many similarities between them. ,English,I don't see any of these,Student,Math & Statistics,Conceptual and Statistical Knowledge,Statistics
12/13/2020 10:43:39,Key Practices for the Language Scientist,https://osf.io/ftxnk/,Drs Julia Egger and Eirini Zormpa,"Module, Syllabus",College / Upper Division (Undergraduates),Materials for the Key Practices for the Language Scientist course taught from January to March 2020 at the Max Planck Institute for Psycholinguistics in Nijmegen.,English,CC BY,"Student, Teacher",Social Science,"Reproducibility and Replicability Knowledge, Open Data and Materials",Teaching
1/23/2021 13:10:43,All the Weight of Our Dreams On Living Racialized Autism,https://autismandrace.com/,"Lydia X. Z. Brown, E. Ashkenazy and Morénike Giwa Onaiwu",Reading,College / Upper Division (Undergraduates),"For those of us who are autistic and racialized, we often struggle to find representation in mass media, academic work about autism or race, and the activist and advocacy movements that focus on autism, neurodiversity, disability rights, or racial justice. Most autism and autistic organizations, publications about autism, and broader neurodiversity campaigns are predominantly white. Yet disabled Black and Brown students are most likely to be impacted by the school to prison pipeline; the vast majority of U.S. prisoners are disabled and Black or Brown; racialized people are a global majority (which means that autistic people of color far outnumber white autistic people in the world); and the combined impact of race and disability severely increase likelihood for hate crimes, police violence, all other forms of abuse, and repeated retraumatization. Our stories matter and must be told. We hope that this collection will not only speak sharply against our constant erasure and invisibility as (at least) doubly impacted, but will also provide solace and familiarity for our own out there waiting for stories like theirs to be told.",English,I don't see any of these,"Student, Teacher, Administrator, Parent, Librarian","Applied Science, Education, Social Science",Academic Life and Culture,"Diversity, Equity and Inclusion"
1/23/2021 13:47:35,What is Universal Design for Learning (UDL)?,https://www.understood.org/en/learning-thinking-differences/treatments-approaches/educational-strategies/universal-design-for-learning-what-it-is-and-how-it-works,Amanda Morin and Ace Parsi,Reading,"College / Upper Division (Undergraduates), Graduate / Professional, Adult Education","Universal Design for Learning (UDL) is a way of thinking about teaching and learning that helps give all students an equal opportunity to succeed. This approach offers flexibility in the ways students access material, engage with it and show what they know. Developing lesson plans this way helps all kids, but it may be especially helpful for kids with learning and thinking difference.",English,I don't see any of these,"Student, Teacher, Parent","Career and Technical Education, Education, Social Science",Academic Life and Culture,"Diversity, Equity, Inclusion, Neurodiversity"
1/23/2021 15:13:34,Landmark College Institute for Research & Training (LCIRT) ,https://www.landmark.edu/research-training,Landmark College Institute,Website,"College / Upper Division (Undergraduates), Adult Education","LCIRT was established in 2001 to pioneer LD research, discover innovative strategies and practices, and improve teaching and learning outcomes for students with learning disabilities (like dyslexia), ADHD, and autism spectrum disorder (ASD), and educators in high school and college settings.  Currently, the Institute staff shares this information with education professionals through webinars, online certificate courses, on-site and online workshops, and the signature Summer Institute for educators, among other activities. Fully integrated within the College, LCIRT is instrumental in promoting and leveraging the knowledge and expertise of Landmark College's faculty and staff. The Neurocognitive Lab, which includes vitual reality (VR) equipment, makes LCIRT a popular environment for student research.",English,I don't see any of these,"Student, Teacher, Parent","Education, Social Science",Academic Life and Culture,"Diversity, Equity, Inclusion, Neurodiversity"
1/23/2021 19:28:04,Autistic community and the Neurodiversity movement: Stories from the Frontline,https://researchportal.port.ac.uk/portal/files/16791605/Autistic_Community_and_the_Neurodiversity_Movement.pdf,Steven K. Kapp,Reading,College / Upper Division (Undergraduates),A book about the autistic community and the neurodivergent movement,English,I don't see any of these,"Student, Teacher, Parent","Education, Social Science",Academic Life and Culture,"Diversity, Equity, Inclusion, Neurodiversity, Autism"
3/14/2021 15:14:25,"How racist policing took over American cities, explained by a historian",https://www.vox.com/2020/6/6/21280643/police-brutality-violence-protests-racism-khalil-muhammad,Anna North,Reading,"College / Upper Division (Undergraduates), Graduate / Professional, Career /Technical, Adult Education","“The problem is the way policing was built,” historian Khalil Muhammad says.",English,I don't see any of these,"Student, Teacher, Administrator, Parent, Librarian",Social Science,Academic Life and Culture,"Diversity, Equity, Inclusion"
5/13/2021 11:54:46,Social Identity and morality lab teaching,https://www.jayvanbavel.com/teachings,Jay Van Bavel,"Module, Reading",College / Upper Division (Undergraduates),"I believe that higher education should be focused on developing passionate, critical, independent and creative thought, and the transmission of knowledge should be in the service of developing these skills. In the classroom, I try to communicate the core issues and controversies within an area in an interactive fashion, drawing students into the material though exercises and debate. This experience provides a deeper understanding of the material and encourages students to think critically about how scientific conclusions depend on the research process. In addition, I try to teach case studies of scientific controversy on topical issues to illustrate that science is not simply an assembly of facts but a method for developing and testing ideas. In my experience, this approach has led naturally to classroom discussions where students share their own insights and critical perspectives.",English,I don't see any of these,Teacher,Social Science,"Reproducibility and Replicability Knowledge, Open Data and Materials, Academic Life and Culture",Materials; Mentoring
5/16/2021 15:20:04,Elsevier Title Level Pricing: Dissecting the Bowl of Spaghetti,https://jlsc-pub.org/articles/abstract/10.7710/2162-3309.2410/, Joel B. Thornton  and Curtis Brundy,Reading,College / Upper Division (Undergraduates),"INTRODUCTION This study will explore the issue of pricing opacity associated with prices paid by academic libraries that have recently unbundled from the Elsevier Big Deal journal package. Additionally, this study will provide metrics for assessing the fair market value (FMV) of unbundled journal packages. The pricing metrics will assist academic libraries in negotiations of subscription and open access agreements. METHODS Pricing information was gathered from five academic libraries. The data was analyzed to arrive at two key metrics (adjustment from list price and the average cost per journal) for establishing comparables, i.e., prices paid by similarly sized institutions, to assess the collective FMVs for unbundled Elsevier journal packages. RESULTS & DISCUSSION The study results show that significant variations existed in the way institutions were charged for content. Additionally, the comparables show wide variations among institutions when measured by the overall adjustment from list price and the average cost per journal. CONCLUSION The pricing metrics developed in this study, adjustment from list price (ALP) and average cost per journal (ACJ), will help libraries assess their final net prices for individual journal subscriptions. The results will be useful to administrators, collection development personnel, and negotiating teams in understanding the prices paid by other institutions for unbundled journal packages to determine FMVs.",French,I don't see any of these,"Student, Teacher, Librarian","Applied Science, Business and Communication, Career and Technical Education, Social Science",Academic Life and Culture,Journal; Subscription
5/16/2021 15:21:08,Joy and rigor in behavioral science,https://www.sciencedirect.com/science/article/pii/S0749597821000327,Hanne K.Collins et al.,Reading,"College / Upper Division (Undergraduates), Graduate / Professional","In the past decade, behavioral science has seen the introduction of beneficial reforms to reduce false positive results. Serving as the motivational backdrop for the present research, we wondered whether these reforms might have unintended negative consequences for researchers’ behavior and emotional experiences. In an experiment simulating the research process, Study 1 (N = 449 researchers) suggested that engaging in a pre-registration task impeded the discovery of an interesting but non-hypothesized result. Study 2 (N = 400 researchers) indicated that relative to confirmatory research, researchers found exploratory research more enjoyable, motivating, and interesting; and less anxiety-inducing, frustrating, boring, and scientific. These studies raise the possibility that emphasizing confirmation can shift researchers away from exploration, and that such a shift could degrade the subjective experience of conducting research. Study 3 (N = 314 researchers) introduced a scale to measure “prediction preoccupation”—the feeling of heightened concern over, and fixation with, confirming predictions.",English,I don't see any of these,Student,Social Science,"Reproducibility and Replicability Knowledge, Replication Research, Academic Life and Culture",Kindness
5/24/2021 12:47:20,Oxford-Berlin Open Research summer school 2019,https://osf.io/6ytne/,Heise et al.,Module,College / Upper Division (Undergraduates),This projects contains materials from lectures and workshops associated with the Oxford-Berlin Open Research Summer School 2019.,English,I don't see any of these,"Student, Teacher","Applied Science, Social Science","Reproducibility and Replicability Knowledge, Conceptual and Statistical Knowledge, Reproducible Analyses, Preregistration, Open Data and Materials, Replication Research",Open Research
5/24/2021 12:48:30,Berlin|Oxford Summer School 2020,https://osf.io/9qy6s/,Toelch et al. ,"Lesson, Module","College / Upper Division (Undergraduates), Graduate / Professional",This repository contains materials and talks for the Berlin|Oxford Summer School 2020 from 28th September to 1st of October,English,CC BY-NC-ND,Student,"Applied Science, Social Science","Reproducibility and Replicability Knowledge, Conceptual and Statistical Knowledge, Reproducible Analyses, Preregistration, Open Data and Materials, Replication Research",Open Research
6/5/2021 21:30:45,Introduction to simulations,https://www.youtube.com/watch?v=LD5t57MAEB0&list=PLB_6juUbmewMfkdwM5cV_5n7Sroufo-Qb,Professor Dorothy Bishop,Video,"College / Upper Division (Undergraduates), Graduate / Professional","Introduction to simulation - first of a series of short lectures given at University of Oxford in February 2021. Very basic for those with little or no background, starting with simulation in Excel. In part 1, we simulate random data to show how easy it is to get a 'significant' effect if you adopt methods of p-hacking. In part 2, we simulate data with a real group difference and show how you can fail to find the effect in a sample if you have insufficient statistical power. For full course description see: https://drive.google.com/file/d/1yt1m... Sorry - no in-person follow-up available on YouTube, but I hope you find the lectures useful.",English,I don't see any of these,"Student, Teacher","Math & Statistics, Social Science",Conceptual and Statistical Knowledge,Simulation
